acl	fork-vanilla
attr	fork-vanilla
audit	fork-delta
autoconf	fork-vanilla
automake	fork-vanilla
bash	fork-vanilla
bison	fork-vanilla
boost	fork-vanilla
brotli	fork-vanilla
bzip2	fork-delta
ca-certificates	fork-vanilla
cmake	fork-delta
cpio	fork-vanilla
cryptsetup	fork-vanilla
curl	fork-delta
db5.3	fork-vanilla
dbus-broker	fork-vanilla
dbus	fork-delta
debugedit	fork-vanilla
dejagnu	fork-vanilla
diffutils	fork-vanilla
e2fsprogs	fork-vanilla
elfutils	fork-vanilla
expat	fork-vanilla
expect	fork-vanilla
fakeroot	fork-delta
file	fork-vanilla
findutils	fork-vanilla
flex	fork-vanilla
gawk	fork-vanilla
gc	fork-vanilla
gdb	fork-vanilla
gdbm	fork-vanilla
gettext	fork-vanilla
git	fork-vanilla
glib2	fork-vanilla
gmp	fork-vanilla
gnulib-l10n	fork-vanilla
gnupg	fork-vanilla
gnutls	fork-vanilla
gperf	fork-vanilla
gpgme	fork-vanilla
grep	fork-vanilla
groff	fork-vanilla
guile	fork-vanilla
gzip	fork-vanilla
hwdata	fork-vanilla
hwloc	fork-vanilla
iana-etc	fork-delta
icu	fork-vanilla
inetutils	fork-vanilla
iproute2	fork-delta
iptables	fork-vanilla
iputils	fork-vanilla
jansson	fork-vanilla
json-c	fork-vanilla
kbd	fork-vanilla
keyutils	fork-vanilla
kmod	fork-vanilla
krb5	fork-delta
leancrypto	fork-vanilla
less	fork-vanilla
libarchive	fork-vanilla
libassuan	fork-vanilla
libbpf	fork-vanilla
libcap	fork-delta
libcap-ng	fork-vanilla
libedit	fork-vanilla
libevent	fork-vanilla
libffi	fork-vanilla
libgcrypt	fork-vanilla
libgpg-error	fork-vanilla
libidn2	fork-vanilla
libisl	fork-vanilla
libksba	fork-vanilla
libmnl	fork-vanilla
libmpc	fork-vanilla
libnetfilter_conntrack	fork-vanilla
libnfnetlink	fork-vanilla
libnftnl	fork-vanilla
libnghttp2	fork-vanilla
libnghttp3	fork-vanilla
libngtcp2	fork-vanilla
libnl	fork-vanilla
libnsl	fork-vanilla
libpcap	fork-vanilla
libpipeline	fork-vanilla
libpsl	fork-vanilla
libsasl	fork-vanilla
libseccomp	fork-vanilla
libsecret	fork-vanilla
libssh2	fork-vanilla
libtasn1	fork-vanilla
libtirpc	fork-vanilla
libtool	fork-vanilla
libunistring	fork-vanilla
libusb	fork-vanilla
libverto	fork-vanilla
libxcrypt	fork-delta
libxml2	fork-vanilla
lmdb	fork-vanilla
lua	fork-vanilla
lvm2	fork-vanilla
lz4	fork-vanilla
m4	fork-vanilla
make	fork-vanilla
man-db	fork-vanilla
man-pages	fork-vanilla
meson	fork-delta
mpdecimal	fork-vanilla
mpfr	fork-vanilla
ncurses	fork-delta
nettle	fork-vanilla
nftables	fork-vanilla
ninja	fork-vanilla
npth	fork-vanilla
nss	fork-vanilla
oniguruma	fork-vanilla
openldap	fork-vanilla
p11-kit	fork-vanilla
pambase	fork-vanilla
pam	fork-vanilla
patch	fork-vanilla
pciutils	fork-vanilla
pcre2	fork-vanilla
perl-error	fork-vanilla
perl	fork-delta
perl-mailtools	fork-vanilla
perl-timedate	fork-vanilla
pinentry	fork-vanilla
pkgconf	fork-vanilla
popt	fork-vanilla
procps-ng	fork-vanilla
psmisc	fork-vanilla
python-flit-core	fork-delta
python	fork-delta
python-jinja	fork-vanilla
python-markupsafe	fork-vanilla
python-packaging	fork-delta
python-pefile	fork-vanilla
python-pyelftools	fork-vanilla
python-setuptools	fork-delta
python-wheel	fork-delta
readline	fork-vanilla
sed	fork-vanilla
shadow	fork-delta
source-highlight	fork-vanilla
sqlite	fork-vanilla
swig	fork-vanilla
sysprof	fork-vanilla
tar	fork-vanilla
tcl	fork-vanilla
texinfo	fork-vanilla
tpm2-tss	fork-vanilla
tzdata	fork-vanilla
util-linux	fork-delta
vim	fork-delta
which	fork-vanilla
xxhash	fork-vanilla
xz	fork-delta
zstd	fork-vanilla
libxkbcommon	fork-vanilla
libmicrohttpd	fork-vanilla
qrencode	fork-vanilla
libpwquality	fork-vanilla
po4a	fork-vanilla
bash-completion	fork-vanilla
gpm	fork-vanilla
jsoncpp	fork-delta
libuv	fork-delta
rhash	fork-vanilla
cppdap	fork-delta
nlohmann-json	fork-vanilla
hicolor-icon-theme	fork-vanilla
python-build	fork-delta
python-installer	fork-delta
man2html	fork-vanilla
bluez	fork-delta
libxslt	fork-vanilla
docbook-xsl	fork-vanilla
xmlto	fork-delta
perl-locale-gettext	fork-vanilla
perl-module-build	fork-vanilla
perl-pod-parser	fork-vanilla
perl-sgmls	fork-vanilla
perl-term-readkey	fork-vanilla
perl-text-wrapi18n	fork-vanilla
perl-unicode-linebreak	fork-vanilla
perl-yaml-tiny	fork-vanilla
python-pyproject-hooks	fork-delta
python-jaraco.collections	fork-vanilla
python-jaraco.functools	fork-vanilla
python-jaraco.text	fork-vanilla
python-more-itertools	fork-vanilla
python-platformdirs	fork-vanilla
patchelf	fork-delta
fuse3	fork-delta
gtest	fork-delta
alsa-lib	fork-vanilla
ell	fork-vanilla
